Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
56,2.0,0.0,428.0,16.0,15.0,1503.0,0.0,537.9888211063447,537.9888211063447,0.0,197.6282136440277,,,,,,,,,,,,,,,,182.9182202145042,173.71119304008428,535.7808286317589,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,474.0,17.0,46.0,1549.0,0.0,863.8892358670973,863.8892358670973,0.0,201.34232306480408,,,,,,,,,,,,,,,,183.42179988721847,256.1277347104464,856.3081412134992,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,498.0,18.0,24.0,1573.0,0.0,928.474712005071,928.474712005071,0.0,203.85138940811157,,,,,,,,,,,,,,,,330.62639377581587,299.0390935718981,921.4611396941456,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,518.0,19.0,20.0,1593.0,0.0,518.85240897086,518.85240897086,0.0,205.8136923313141,,,,,,,,,,,,,,,,144.45544533857316,164.96698621445051,516.4797798439328,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,573.0,20.0,55.0,1648.0,0.0,2394.460909434819,2394.460909434819,0.0,210.07319521903992,,,,,,,,,,,,,,,,1000.8266935478947,763.8272485483367,2341.7571984881715,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,31.0,1.0,31.0,1679.0,0.0,1074.8118080347779,1074.8118080347779,0.0,243.71024227142334,,,,,,,,,,,,,,,,393.7528778542829,345.9780524225484,1063.6691379592548,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,65.0,2.0,34.0,1713.0,0.0,1261.5928109788563,1261.5928109788563,0.0,246.50818252563477,,,,,,,,,,,,,,,,521.4217456072143,391.86225368581006,1245.1095812094204,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,91.0,3.0,26.0,1739.0,0.0,777.7078586241375,777.7078586241375,0.0,249.18586897850037,,,,,,,,,,,,,,,,259.17223593878566,249.02110548516987,771.7411216113403,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,119.0,4.0,28.0,1767.0,0.0,1237.9963832522535,1237.9963832522535,0.0,251.69465470314026,,,,,,,,,,,,,,,,536.4262490725652,384.7209688937552,1224.2006489271487,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,134.0,5.0,15.0,1782.0,0.0,537.6845517914284,537.6845517914284,0.0,253.36132216453552,,,,,,,,,,,,,,,,188.3060155576324,168.7181762715979,535.3953569149788,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
